INSEE_C;taux_vacance_25_pct;taux_vacance_long_25_pct
03145;7.67;
03146;;
03147;18.44;
03149;10.34;
03151;11.43;
03152;14.76;8.57
03155;15.87;11.26
03156;7.97;4.61
03158;15.21;
03159;9.16;6.36
03161;18.02;13.88
03165;15.5;10.93
03168;13.58;8.8
03169;12.35;
03173;11.84;6.58
03174;9.81;
03179;14.98;
03180;6.29;
03183;17.9;
03185;18.07;11.34
03186;16.43;11.99
03189;14.87;11.0
03190;13.79;8.39
03191;18.58;
03195;14.82;10.45
03197;7.42;4.77
03200;6.42;3.67
03201;12.97;
03202;12.16;8.25
03203;10.98;
03204;5.88;
03206;22.35;15.29
03207;10.3;5.98
03208;12.79;
03211;7.1;4.9
03212;7.5;4.38
03214;21.47;14.72
03217;6.08;
03219;17.24;
03220;10.47;
03221;12.19;8.6
03225;18.4;11.87
03229;10.06;6.6
03232;;
03234;14.98;
03235;14.23;8.19
03236;9.45;5.1
03238;17.72;
03240;16.67;13.08
03241;14.68;8.26
03246;11.33;7.67
03247;7.21;4.92
03252;5.52;
03253;14.01;8.7
03254;12.83;8.39
03258;4.18;2.32
03260;19.85;
03262;5.51;3.31
03263;11.58;
03264;8.15;5.84
03265;14.29;9.05
03266;10.94;
03275;20.42;15.85
03276;15.65;
03279;18.67;
03281;15.69;10.95
03283;9.56;6.14
03285;16.13;
03286;6.47;4.55
03287;17.43;
03292;18.3;13.68
03293;19.35;
03297;19.05;15.29
03298;10.97;5.83
03301;8.57;6.52
03306;5.07;3.16
03308;14.04;
03309;16.53;11.92
03310;14.6;7.8
03313;11.56;
03314;5.42;3.45
03315;14.57;10.32
03316;9.73;7.2
03320;12.9;
03321;6.75;3.15
04001;4.99;
04004;13.64;10.33
04006;4.54;1.99
04008;11.93;8.7
04009;;
04013;7.32;
04017;8.89;
04018;14.05;9.02
04019;10.2;6.41
04020;16.95;
04022;11.83;8.71
04023;10.44;
04025;5.86;3.27
04027;;
04031;11.08;7.31
04033;9.19;5.36
04034;8.04;4.74
04036;7.63;4.77
04039;17.66;13.5
04041;7.56;
04045;9.18;6.81
04046;9.78;5.05
04047;8.24;5.32
04049;9.08;5.48
04053;8.95;
04061;7.02;5.48
04062;7.66;
04063;8.47;4.54
04068;6.56;3.67
04069;22.31;12.4
04070;11.36;6.84
04074;11.34;
04075;6.62;
04076;16.59;12.03
04079;7.65;3.7
04081;9.6;7.12
04088;8.24;4.98
04091;36.51;
04094;8.58;5.18
04096;6.86;3.7
04097;14.33;10.58
04101;9.92;
04102;16.0;
04106;11.83;8.45
04107;;
04108;8.35;5.76
04110;6.67;4.56
04111;8.78;5.37
04112;9.03;4.88
04116;11.99;7.87
04121;15.54;10.36
04123;9.41;6.8
04127;7.34;
04134;17.48;11.89
04135;11.86;8.01
04141;7.84;
04143;7.52;4.07
04144;11.17;7.18
04145;8.1;5.59
04148;12.2;7.01
04149;9.37;6.13
04150;;
04152;5.46;3.4
04155;11.48;7.87
04156;11.52;
04158;9.11;5.23
04160;9.38;6.42
04161;13.42;6.94
04162;10.0;
04163;17.17;13.94
04166;15.56;10.9
04172;11.67;7.96
04173;9.67;6.41
04178;13.55;10.41
04188;4.75;
04189;10.95;7.1
04190;22.81;
04192;6.66;4.59
04193;10.08;7.05
04195;7.41;4.31
04197;8.31;5.07
04199;12.44;
04200;7.81;
04201;;
04203;7.99;4.36
04205;9.58;6.47
04208;11.75;
04209;12.26;7.27
04216;9.82;
04217;10.68;5.98
04218;8.41;
04219;11.85;8.43
04226;4.02;1.98
04229;8.79;
04230;10.88;6.63
04237;7.74;
04240;4.9;
04241;;
04242;5.31;2.79
04244;12.59;8.74
04245;6.35;3.41
05001;8.75;4.55
05003;6.38;4.13
05004;5.81;3.79
05006;7.86;5.18
05007;6.67;4.4
05008;11.45;6.73
05010;9.64;6.86
05012;9.72;7.91
05013;;
05014;7.81;
05016;8.04;
05017;5.07;2.4
05023;7.45;4.39
05024;12.41;8.03
05025;8.82;
05026;7.49;5.39
05029;6.35;4.05
05035;;
05036;6.12;3.59
05038;12.18;8.82
05039;10.47;7.69
05040;8.7;5.99
05045;5.97;3.28
05046;6.69;3.26
05050;9.82;6.25
05052;7.32;5.14
05053;7.27;
05055;11.49;
05056;5.56;
05058;8.97;
05061;6.52;3.17
05063;8.24;4.79
05064;10.22;
05065;8.3;5.17
05070;9.88;6.09
05077;5.38;3.47
05078;14.05;
05079;5.34;3.31
05082;;
05085;3.61;1.04
05093;5.09;3.13
05096;5.2;2.97
05097;7.87;
05098;3.19;1.5
05101;7.33;4.6
05103;12.34;7.74
05110;2.98;1.53
05114;6.03;2.76
05115;12.7;8.89
05118;11.41;7.32
05119;3.42;1.12
05122;7.08;5.13
05123;5.66;3.77
05126;14.43;9.37
05128;13.92;9.04
05132;7.41;4.9
05133;3.95;2.36
05134;7.87;
05136;7.25;3.4
05139;4.69;2.35
05140;11.48;
05142;7.71;4.79
05145;7.78;5.12
05153;5.48;3.02
05154;;
05156;4.07;
05157;9.46;5.16
05159;;
05161;3.28;1.48
05162;7.48;5.1
05164;6.29;3.1
05165;12.43;
05166;12.43;8.41
05168;7.94;
05170;8.61;5.38
05173;9.51;
05174;9.17;6.06
05177;4.33;2.16
05178;8.07;
05179;8.82;5.09
05180;5.84;
05181;7.3;
06002;;
06003;12.21;6.47
06004;5.58;2.21
06005;14.52;
06006;4.59;3.03
06007;3.7;1.31
06008;;
06009;14.86;
06010;6.88;3.08
06011;7.06;3.65
06012;9.67;5.4
06013;15.31;11.25
06014;9.2;6.26
06015;7.09;3.6
06016;7.66;5.53
06017;14.04;
06018;4.77;2.38
06019;6.33;4.87
06020;13.47;10.22
06021;11.0;7.66
06022;9.09;5.16
06023;16.8;12.87
06024;11.03;
06025;8.89;5.8
06027;5.05;2.25
06028;8.62;5.61
06029;5.84;2.23
06030;5.21;1.9
06031;6.68;3.88
06032;7.73;4.22
06033;3.65;1.9
06034;5.18;3.08
06035;10.49;6.71
06036;5.99;
06038;5.22;2.24
06039;8.63;5.82
06040;;
06041;10.22;6.5
06042;13.26;10.15
06043;12.65;9.32
06044;4.87;2.74
06045;18.42;
06046;4.76;2.93
06047;16.24;
06048;5.67;3.03
06050;5.38;
06052;12.73;
06054;5.2;3.35
06055;;
06056;6.57;
06057;10.89;8.15
06058;8.02;4.87
06059;7.43;4.26
06060;4.51;2.36
06062;18.3;14.53
06063;;
06064;4.48;2.8
06065;3.18;1.48
06066;12.94;9.97
06067;6.77;5.16
06069;7.95;3.98
06070;8.32;5.35
06071;9.43;6.74
06072;12.4;
06073;5.24;3.52
06074;17.44;12.54
06075;6.34;4.06
06076;;
06077;13.2;9.43
06078;13.46;
06079;3.72;0.98
06081;5.83;
06082;13.33;
06083;6.43;2.6
06084;4.46;1.93
06085;4.25;1.62
06086;17.15;10.63
06088;6.84;3.29
06089;4.28;1.89
06090;3.57;1.41
06091;11.93;7.66
06092;7.94;5.74
06094;5.48;3.94
06095;5.43;2.38
06098;16.67;
06099;13.95;8.63
06102;11.67;
06103;13.87;9.39
06104;6.79;3.34
06105;3.51;1.4
06106;12.9;9.98
06108;4.85;2.62
06109;9.4;6.84
06110;8.84;5.25
06112;4.68;1.83
06113;6.64;5.01
06114;6.17;3.08
06116;7.0;
06117;5.17;3.33
06118;14.86;2.89
06120;7.45;5.4
06121;9.42;5.93
06122;4.12;2.13
06123;4.35;1.85
06124;;
06126;4.57;2.7
06127;11.02;8.27
06128;5.97;3.15
06129;19.03;12.9
06130;5.65;2.37
06131;;
06132;10.44;8.38
06133;11.0;
06134;9.85;6.06
06135;9.59;
06136;11.09;7.68
06137;5.24;3.14
06138;5.38;2.3
06140;3.05;1.26
06141;15.73;9.79
06143;9.04;
06144;10.35;
06147;5.75;3.02
06148;4.17;1.38
06149;5.29;2.52
06150;7.21;4.23
06151;13.8;10.74
06152;5.46;2.37
06153;9.88;7.04
06154;8.32;6.28
06155;6.14;2.89
06156;10.53;
06157;5.49;2.91
06158;12.52;8.92
06159;7.82;3.89
06160;12.21;
06161;4.32;1.88
06162;17.56;12.94
06163;18.57;13.73
07002;6.06;
07005;8.22;4.27
07006;14.29;
07007;10.52;5.99
07008;7.09;4.49
07009;7.91;4.65
07010;13.94;8.5
07011;12.76;7.91
07012;15.54;10.73
07013;6.42;
07014;11.08;
07015;7.76;
07017;8.4;5.33
07019;14.28;8.52
07022;8.12;5.62
07024;7.74;4.02
07026;18.25;13.33
07027;6.59;4.44
07028;5.52;
07029;11.86;
07031;12.19;8.18
07032;15.74;
07035;11.82;8.75
07037;11.97;
07041;7.47;4.45
07042;11.51;6.88
07045;15.8;10.43
07048;11.08;7.49
07050;8.49;5.34
07051;7.22;
07052;8.84;5.81
07053;11.82;7.27
07054;13.01;8.13
07055;5.01;2.55
07056;5.76;
07058;10.03;6.16
07063;7.65;
07064;18.01;12.08
07066;6.78;4.07
07069;9.5;
07070;3.95;2.11
07071;7.81;5.36
07072;9.19;5.49
07073;11.57;
07075;13.45;
07076;9.79;6.39
07078;4.87;2.47
07079;9.97;7.53
07080;9.76;
07084;3.15;
07085;10.96;7.57
07086;6.6;
07089;4.11;2.17
07090;7.29;3.57
07095;11.5;
07096;10.77;5.39
07100;10.32;6.95
07101;7.88;5.74
07102;4.52;1.86
07107;13.81;10.7
07109;9.39;5.5
07110;11.34;6.94
07116;15.48;8.86
07117;7.38;3.69
07126;9.85;7.37
07127;15.15;9.7
07128;16.53;
07129;17.43;12.33
07130;18.69;12.46
07131;11.51;6.91
07132;18.08;11.75
07133;21.92;
07134;9.02;5.85
07138;5.66;3.83
07140;5.9;
07143;8.76;5.76
07145;7.16;4.82
07149;13.09;
07150;15.02;12.21
07152;6.02;3.4
07153;18.76;15.33
07155;6.94;3.82
07156;12.65;7.33
07157;9.51;5.35
07159;7.21;3.83
07161;14.73;9.96
07165;17.35;12.67
07166;8.98;
07167;10.32;7.09
07168;8.1;5.12
07169;11.17;
07170;12.31;
07172;3.06;1.97
07174;7.01;
07178;13.47;8.39
07179;11.11;
07181;8.85;5.06
07182;10.2;7.48
07183;5.52;
07185;9.55;6.21
07186;13.04;7.84
07188;8.03;5.85
07189;5.69;
07191;7.84;4.33
07192;14.38;9.9
07196;11.07;5.93
07197;5.82;2.36
07198;7.12;5.16
07199;9.86;7.21
07201;10.84;6.94
07204;13.72;8.77
07205;6.02;4.3
07207;7.51;4.63
07210;13.7;10.96
07212;11.73;
07216;10.0;6.67
07217;10.26;7.05
07218;11.65;
07219;9.16;
07224;17.87;12.8
07227;3.78;
07228;7.97;4.74
07229;8.11;5.27
07230;9.9;5.28
07231;7.24;4.2
07232;13.14;9.79
07235;14.04;
07236;13.85;8.45
07237;10.86;7.05
07240;5.57;3.12
07245;4.57;2.74
07247;11.88;7.6
07250;11.02;
07251;12.84;
07253;10.18;
07254;7.1;4.26
07255;5.38;3.5
07259;9.35;5.43
07261;6.89;4.28
07262;18.14;
07264;11.64;9.21
07265;8.4;
07267;15.56;10.28
07268;8.4;6.02
07269;21.13;15.47
07279;7.96;6.69
07280;13.1;9.03
07281;4.52;2.43
07282;12.8;
07284;8.63;
07286;11.22;7.64
07288;3.61;
07289;8.02;4.62
07290;11.88;
07291;11.26;7.31
07293;6.95;4.0
07295;15.69;10.91
07296;4.94;3.25
07298;4.07;
07301;9.29;6.35
07302;6.2;
07304;6.44;2.47
07306;7.73;
07308;7.37;4.24
07309;10.26;6.6
07313;12.35;7.87
07315;11.09;
07316;3.56;1.64
07317;;
07319;16.47;9.5
07322;12.86;8.94
07323;6.51;4.05
07324;7.43;3.66
07325;8.79;5.73
07327;13.59;9.76
07329;11.94;8.21
07330;12.48;8.81
07331;15.03;9.81
07333;10.2;7.98
07334;10.84;6.81
07337;4.42;2.0
07338;13.69;9.54
07339;6.94;5.34
07340;6.03;3.52
07341;10.34;6.64
07342;9.83;6.5
07343;9.73;6.91
07345;5.49;
07346;14.37;11.23
07347;10.34;5.87
07348;10.12;5.13
07349;9.5;5.25
08001;6.86;
08003;4.13;2.0
08008;8.29;4.97
08011;9.3;
08024;5.01;
08025;14.41;7.63
08028;7.41;4.2
08036;14.77;
08037;10.78;6.52
08040;6.59;3.57
08043;10.45;6.11
08049;21.62;
08053;7.83;4.67
08057;16.07;
08058;11.01;
08062;;
08067;7.92;4.25
08076;8.87;4.76
08077;;
08081;11.11;6.53
08083;8.72;
08084;10.77;
08089;14.95;
08090;12.69;7.78
08096;;
08097;7.79;
08104;;
08105;11.2;5.97
08107;9.39;6.55
08111;5.25;
08113;16.1;11.99
08116;11.15;8.01
08122;10.41;6.54
08125;;
08137;;
08139;14.87;8.61
08142;7.41;3.91
08145;7.68;4.15
08149;14.12;14.12
08156;9.75;
08173;7.2;3.47
08174;8.23;5.22
08180;3.16;
08183;10.73;6.48
08185;15.95;10.77
08187;11.84;
08188;9.35;5.92
08190;14.55;9.6
08191;4.14;
08194;7.5;
08198;18.45;13.39
08199;8.03;
