INSEE_C;DEP;n;p25;p50;p75;n_small;p50_small
07055;07;1;2093.22;2093.22;2093.22;0;0
07058;07;1;3228.13;3228.13;3228.13;1;3228.13
07061;07;1;714.29;714.29;714.29;1;714.29
07064;07;34;598.78;1057.56;1201.9;7;1088.89
07066;07;14;1402.94;1835.93;2471.91;2;1575.93
07070;07;5;1164.29;1200;1292.86;1;2611.11
07071;07;4;847.93;1058.71;1335.05;0;0
07072;07;1;20000;20000;20000;0;0
07076;07;13;796.3;1142.86;1888.89;6;777.78
07078;07;31;1646.09;1959.15;2671.49;5;2200
07084;07;1;1000;1000;1000;1;1000
07086;07;1;1607.07;1607.07;1607.07;0;0
07088;07;1;486.11;486.11;486.11;0;0
07089;07;4;1567.72;1611.34;1640.49;2;1616.97
07090;07;6;1144.17;1506.77;1897.7;2;1458.44
07099;07;2;994.22;994.7;995.17;0;0
07102;07;359;1810.73;2113.4;2549.6;67;2500
07103;07;3;1008.75;1017.5;1227.5;1;1000
07107;07;4;1471.34;1723.6;1890.63;1;1075
07109;07;1;476.19;476.19;476.19;0;0
07110;07;32;1029.14;1518.33;1822.84;13;1657.89
07111;07;1;476.19;476.19;476.19;1;476.19
07116;07;21;660.38;928.57;1217.39;8;1071.03
07117;07;2;3233.23;3277.44;3321.65;2;3277.44
07119;07;1;1513.73;1513.73;1513.73;1;1513.73
07122;07;1;2857.14;2857.14;2857.14;0;0
07126;07;2;2736.8;2911.09;3085.39;0;0
07127;07;2;738.29;968.38;1198.48;1;1428.57
07128;07;18;623.53;818.67;962.62;7;976.6
07129;07;15;720.69;964.91;1192.45;3;1923.08
07131;07;2;1369.05;1626.98;1884.92;0;0
07132;07;9;788.66;830.77;1612.9;1;1960.78
07136;07;1;475;475;475;0;0
07138;07;4;1185.19;1205.02;1447.57;0;0
07139;07;1;454.55;454.55;454.55;0;0
07143;07;1;1024.39;1024.39;1024.39;0;0
07146;07;2;766.97;959.23;1151.49;1;1343.75
07152;07;5;2282.61;2323.33;2785.71;3;2785.71
07153;07;1;600;600;600;1;600
07156;07;5;747.13;1120;1240;5;1120
07157;07;2;1701.26;1774.62;1847.98;1;1627.91
07161;07;4;1026.17;1115.1;1141.56;1;1125
07167;07;4;1206.41;1854.41;2644.49;1;1215.69
07171;07;1;6920;6920;6920;1;6920
07172;07;3;1487.24;1488.34;1531.83;2;1530.74
07176;07;1;1718.15;1718.15;1718.15;0;0
07178;07;2;1035.09;1092.4;1149.72;0;0
07181;07;23;1893.38;2700;2888.89;6;2870.37
07183;07;1;1740.26;1740.26;1740.26;0;0
07186;07;190;1049.41;1280.24;1564.25;55;1312
07191;07;4;1609.85;1730.68;2407.29;1;1272.73
07194;07;1;1468.25;1468.25;1468.25;0;0
07199;07;1;1563.21;1563.21;1563.21;0;0
07201;07;51;2191.69;2739.73;3136.4;27;2648.15
07202;07;1;2625;2625;2625;0;0
07204;07;10;894.92;1158.54;1367.91;1;848.13
07205;07;1;1838.24;1838.24;1838.24;0;0
07210;07;1;4354.17;4354.17;4354.17;0;0
07227;07;2;2493.33;2606.67;2720;2;2606.67
07228;07;1;1363.64;1363.64;1363.64;0;0
07231;07;1;601.5;601.5;601.5;0;0
07233;07;1;1217.95;1217.95;1217.95;0;0
07235;07;1;1143.53;1143.53;1143.53;0;0
07236;07;3;752.98;791.67;1204.37;2;1204.37
07237;07;1;1543.28;1543.28;1543.28;0;0
07240;07;3;1976.19;2327.38;2706.9;0;0
07245;07;10;1467.15;1633.33;2047.28;1;2250
07247;07;2;1558.93;1689.29;1819.64;0;0
07250;07;1;1395.31;1395.31;1395.31;0;0
07253;07;1;3420;3420;3420;1;3420
07254;07;1;1460;1460;1460;1;1460
07255;07;2;1549.61;1817.16;2084.72;1;2352.27
07258;07;2;689.15;981.48;1273.8;0;0
07259;07;1;990.91;990.91;990.91;0;0
07261;07;2;1126.46;1352.91;1579.37;0;0
07265;07;2;1715.09;1735.6;1756.1;1;1694.59
07267;07;1;1250;1250;1250;0;0
07268;07;2;4016.81;4310.76;4604.71;2;4310.76
07269;07;6;724.79;814.62;956.26;5;901.96
07270;07;1;1683.67;1683.67;1683.67;0;0
07273;07;1;1777.78;1777.78;1777.78;0;0
07274;07;1;914.29;914.29;914.29;1;914.29
07276;07;1;1677.78;1677.78;1677.78;0;0
07278;07;1;5047.17;5047.17;5047.17;1;5047.17
07279;07;1;3484.85;3484.85;3484.85;0;0
07280;07;1;3737.93;3737.93;3737.93;1;3737.93
07281;07;59;2063.68;2727.08;3151.8;11;3290.38
07282;07;1;1294.12;1294.12;1294.12;0;0
07286;07;3;626.94;837.21;883.72;2;673.45
07288;07;1;900;900;900;0;0
07289;07;4;773.09;1380.44;2303.44;0;0
07291;07;4;1422.33;2107.29;2580.97;2;2597.84
07294;07;1;4309.78;4309.78;4309.78;0;0
07295;07;4;1152.76;1279.13;1288.63;1;1276.6
07296;07;1;916.67;916.67;916.67;0;0
07298;07;1;1366.67;1366.67;1366.67;0;0
07302;07;1;2193.18;2193.18;2193.18;1;2193.18
07304;07;28;1835.44;2036.6;2222.59;23;2100
07308;07;12;1056.96;1617.59;1931.19;4;1727.27
07309;07;6;790.9;1229.95;1296.3;3;1163.61
07313;07;9;989.54;1652.94;1705.26;4;1967.1
07316;07;20;2824.76;2975.05;3119.18;6;3092.82
07319;07;120;872.62;1157.28;1454.58;26;1051.88
07322;07;6;911.45;1084.85;1345.72;5;1216.22
07323;07;8;2682.79;2698.52;2779.12;3;2792.3
07324;07;326;1534.35;1827.12;2338.01;104;1817.53
07325;07;19;1040.47;2193.98;2481.11;5;2282.61
07327;07;2;853.37;1081.73;1310.1;1;625
07328;07;1;1499.03;1499.03;1499.03;0;0
07330;07;7;1024.19;1473.68;2223.57;3;2200
07331;07;108;1190.63;1565.34;1964.66;54;1823.19
07334;07;32;1747.5;2114.73;2515;16;2373.74
07338;07;5;691.47;920;1145.45;2;822.73
07340;07;2;1080.88;1216.88;1352.88;1;1488.88
07341;07;17;1333.33;1547.95;2800;7;1428.57
07343;07;1;1858.33;1858.33;1858.33;0;0
07346;07;24;1181.25;1389.35;1898.37;7;1395.83
07347;07;4;1031.52;1148.15;1337.72;1;903.85
07348;07;6;1638.68;1815.97;2350.26;3;1600
07349;07;59;1225.3;1436.62;1719.4;21;1437.5
08040;08;3;818.18;833.33;955.13;0;0
08043;08;13;1044.12;1159.57;1361.11;2;995.49
08053;08;4;1316.29;1537.44;1660.33;3;1630.43
08067;08;2;838.46;905.64;972.82;0;0
08081;08;5;815.22;882.35;1162.79;0;0
08090;08;6;833.73;898.72;920.65;1;897.44
08105;08;877;962.96;1223.88;1531.25;297;1250
08140;08;3;821.76;1018.52;1206.76;2;821.76
08142;08;10;959.72;1000;1057.93;4;1004.44
08145;08;2;1031.58;1051.91;1072.25;0;0
08174;08;1;936.84;936.84;936.84;0;0
08180;08;3;1103.75;1231.88;1809.69;0;0
08185;08;9;446.43;607.14;952.38;3;1131.58
08190;08;25;702.7;822.41;988.37;1;1070.75
08191;08;1;988.51;988.51;988.51;0;0
08199;08;1;637.5;637.5;637.5;0;0
