insee,dept,lon,lat,name
02001,02,3.18240,49.59970,Abbécourt
02002,02,3.39740,49.69350,Achery
02003,02,3.41880,49.34760,Acy
02004,02,3.96370,49.71720,Agnicourt-et-Séchelles
02005,02,3.96630,49.39530,Aguilcourt
02006,02,3.51210,49.93130,Aisonville-et-Bernoville
02007,02,3.82110,49.48650,Aizelles
02008,02,3.51280,49.43720,Aizy-Jouy
02009,02,3.36920,49.76810,Alaincourt
02010,02,3.45910,49.46390,Allemant
02011,02,3.16810,49.37410,Ambleny
02012,02,3.40580,49.32260,Ambrief
02013,02,3.92180,49.49770,Amifontaine
02014,02,3.30590,49.61110,Amigny-Rouy
02015,02,3.20650,49.21960,Ancienville
02016,02,3.36860,49.64280,Andelain
02017,02,3.42400,49.69710,Anguilcourt-le-Sart
02018,02,3.44260,49.51590,Anizy-le-Grand
02019,02,3.17610,49.71220,Annois
02020,02,4.21900,49.88510,Any-Martin-Rieux
02021,02,4.11760,49.74440,Archon
02022,02,3.47760,49.25570,Arcy-Sainte-Restitue
02023,02,3.39160,49.17310,Armentières-sur-Ourcq
02024,02,3.76470,49.49850,Arrancy
02025,02,3.19600,49.76230,Artemps
02027,02,3.55470,49.67880,Assis-sur-Serre
02028,02,3.69050,49.57540,Athies-sous-Laon
02029,02,3.15330,49.85570,Attilly
02030,02,3.26140,50.02480,Aubencheul-aux-Bois
02031,02,4.19280,49.82540,Aubenton
02032,02,3.11670,49.77240,Aubigny-aux-Kaisnes
02033,02,3.79210,49.49500,Aubigny-en-Laonnois
02034,02,3.12680,49.47790,Audignicourt
02035,02,3.63140,49.86510,Audigny
02036,02,3.51170,49.34050,Augy
02037,02,3.61110,49.62130,Aulnois-sous-Laon
02038,02,4.22400,49.76030,Les Autels
02039,02,3.79310,49.70420,Autremencourt
02040,02,3.85710,49.89630,Autreppes
02041,02,3.23780,49.58780,Autreville
02042,02,3.35750,49.00610,Azy-sur-Marne
02043,02,3.27760,49.45950,Bagneux
02044,02,4.03830,49.79970,Bancigny
02046,02,3.66120,49.62170,Barenton-Bugny
02047,02,3.64480,49.64660,Barenton-Cel
02048,02,3.69290,49.66820,Barenton-sur-Serre
02049,02,3.33200,49.58140,Barisis-aux-Bois
02050,02,3.75220,50.03780,Barzy-en-Thiérache
02051,02,3.55860,49.09000,Barzy-sur-Marne
02052,02,3.38280,49.53280,Bassoles-Aulers
02053,02,3.62030,49.00090,Vallées en Champagne
02054,02,3.61840,49.29910,Bazoches-et-Saint-Thibaut
02055,02,4.15290,49.81870,Beaumé
02056,02,3.13170,49.68760,Beaumont-en-Beine
02057,02,3.33200,49.99650,Beaurevoir
02058,02,3.75940,49.40290,Beaurieux
02059,02,3.33610,49.64720,Beautor
02060,02,3.10230,49.83310,Beauvois-en-Vermandois
02061,02,3.45800,50.01430,Becquigny
02062,02,3.30360,49.08030,Belleau
02063,02,3.24310,49.92410,Bellenglise
02064,02,3.34390,49.35970,Belleu
02065,02,3.22840,49.95810,Bellicourt
02066,02,3.30760,49.75560,Benay
02067,02,3.71140,50.03000,Bergues-sur-Sambre
02068,02,3.75700,49.77990,Berlancourt
02069,02,4.11040,49.66280,Berlise
02070,02,3.48270,49.88270,Bernot
02071,02,3.15200,49.41180,Berny-Rivière
02072,02,3.85310,49.48280,Berrieux
